ID,Player,Position,Age,Height ,Weight,Team,Against,Injury,Concussion,Home_Away,Games_Missed,Week of Injury,Injured
716,Ibraheim Campbell,DB,23,71,208,Cle,Null,None,0,Null,0,0,0
882,Ifeanyi Momah,TE,26,79,248,Ari,Null,None,0,Null,0,0,0
725,Ifo Ekpre-Olomu,DB,22,69,194,Cle,Null,None,0,Null,0,0,0
374,Ike Taylor,DB,35,74,195,Pit,NE,Concussion,1,0,0,4,1
1517,Ikemefuna Enemkpali,LB,31,73,272,NYJ,Null,None,0,Null,0,0,0
204,Isa Abdul-Quddus,DB,26,73,196,NO,SF,Concussion,1,1,1,12,1
31,Isaac Redman,RB,31,72,230,Pit,Bal,Concussion,1,1,0,13,1
647,Isaiah Burse,WR,24,70,188,Den,Null,None,0,Null,0,0,0
720,Isaiah Crowell,RB,22,71,225,Cle,Null,None,0,Null,0,0,0
795,Isaiah Frey,DB,25,72,190,TB,Null,None,0,Null,0,0,0
1939,Isaiah Pead,RB,26,70,204,LAR,Null,None,0,Null,0,0,0
743,Ishmaa'ily Kitchen,DL,31,73,330,Cle,Null,None,0,Null,0,0,0
1696,J.C. Tretter,OL,31,76,307,GB,Null,None,0,Null,0,0,0
1236,J.D. Walton,OL,31,75,305,Mia,Null,None,0,Null,0,0,0
1728,J.J. Jansen,TE,29,74,240,Car,Null,None,0,Null,0,0,0
883,J.J. Nelson,WR,23,70,160,Ari,Null,None,0,Null,0,0,0
2343,J.J. Watt,DL,26,77,289,Hou,Null,None,0,Null,0,0,0
1164,J.J. Wilcox,DB,24,72,212,Dal,Null,None,0,Null,0,0,0
370,J.R. Sweezy,OL,26,77,298,Sea,NYG,Concussion,1,0,1,1,1
1428,J.T. Thomas,LB,31,73,236,NYG,Null,None,0,Null,0,0,0
1891,J'Marcus Webb,OL,27,79,333,Oak,Null,None,0,Null,0,0,0
2034,Ja'Gared Davis,LB,31,72,238,Wsh,Null,None,0,Null,0,0,0
1189,Ja'Wuan James,OL,31,78,318,Mia,Null,None,0,Null,0,0,0
1819,Jabaal Sheard,DL,26,75,264,NE,Null,None,0,Null,0,0,0
113,Jabari Greer,DB,34,71,180,NO,Dal,Concussion,1,1,1,7,1
2457,Jabari Price,DB,23,71,200,Min,Null,None,0,Null,0,0,0
1502,Jace Amaro,TE,23,77,265,NYJ,Null,None,0,Null,0,0,0
1114,Jack Crawford,DL,27,77,275,Dal,Null,None,0,Null,0,0,0
1058,Jack Doyle,TE,25,78,267,Ind,Null,None,0,Null,0,0,0
1082,Jack Mewhort,OL,24,78,308,Ind,Null,None,0,Null,0,0,0
2047,Jackson Jeffcoat,LB,25,75,253,Wsh,Null,None,0,Null,0,0,0
332,Jacob Lacey,DB,28,70,177,Det,Phi,Concussion,1,1,2,3,1
1358,Jacob Tamme,TE,30,75,230,Atl,Null,None,0,Null,0,0,0
2361,Jacoby Ford,WR,28,69,190,Ten,Null,None,0,Null,0,0,0
937,Jacoby Jones,WR,31,76,215,LAC,Null,None,0,Null,0,0,0
1290,JaCorey Shepherd,DB,22,71,199,Phi,Null,None,0,Null,0,0,0
1205,Jacques McClendon,OL,28,75,324,Mia,Null,None,0,Null,0,0,0
353,Jacquian Williams,LB,27,75,224,NYG,Sea,Concussion,1,0,0,3,1
835,Jacquies Smith,DL,25,74,260,TB,Null,None,0,Null,0,0,0
171,Jacquizz Rodgers,RB,25,66,196,Atl,SF,Concussion,1,1,1,2,1
2297,Jadeveon Clowney,LB,22,77,266,Hou,Null,None,0,Null,0,0,0
2337,Jaelen Strong,WR,21,74,217,Hou,Null,None,0,Null,0,0,0
1998,Jah Reid,OL,27,79,320,Bal,Null,None,0,Null,0,0,0
366,Jahleel Addae,DB,25,70,205,LAC,Den,Concussion,1,1,1,10,1
2105,Jahri Evans,OL,32,76,318,NO,Null,None,0,Null,0,0,0
923,Jahwan Edwards,RB,23,69,220,LAC,Null,None,0,Null,0,0,0
1533,Jaiquawn Jarrett,DB,26,72,196,NYJ,Null,None,0,Null,0,0,0
2095,Jairus Byrd,DB,29,70,203,NO,Null,None,0,Null,0,0,0
1765,Jake Bequette,DL,26,77,265,NE,Null,None,0,Null,0,0,0
526,Jake Fisher,OL,22,78,306,Cin,Null,None,0,Null,0,0,0
231,Jake Long,OL,30,79,322,LAR,SF,Concussion,1,0,0,11,1
1338,Jake Matthews,OL,23,77,305,Atl,Null,None,0,Null,0,0,0
1937,Jake McQuaide,TE,28,74,244,LAR,Null,None,0,Null,0,0,0
553,Jake Murphy,TE,26,76,252,Cin,Null,None,0,Null,0,0,0
1345,Jake Rodgers,OL,24,78,320,Atl,Null,None,0,Null,0,0,0
1689,Jake Ryan,LB,23,74,240,GB,Null,None,0,Null,0,0,0
1222,Jake Stoneburner,TE,26,75,249,Mia,Null,None,0,Null,0,0,0
